Episode,Total Step,Total Reward
1,1000,-182.51527035265636
2,2000,-359.9681168366751
3,3000,-271.54294757010655
4,4000,-267.36202779345075
5,5000,-245.4355047681225
6,6000,-306.39784586165536
7,7000,-125.0302422942563
8,8000,-225.5675786733345
9,9000,-250.43054167663433
10,10000,-174.88745418133823
11,11000,-206.77897579681007
12,12000,-320.2623577788819
13,13000,-217.33606711304256
14,14000,-222.7643898962028
15,15000,-276.7662373383586
16,16000,-271.09072724006296
17,17000,-248.88282896890556
18,18000,-205.79684295555936
19,19000,-206.8091956173251
20,20000,-165.17732074129313
21,21000,-155.3114147870315
22,22000,-30.77630040898743
23,23000,-68.11334576672016
24,24000,-131.50674638468465
25,25000,-304.7094543947913
26,26000,-97.63574864319835
27,27000,-107.37007594274584
28,28000,-64.43997727840366
29,29000,-203.31675369454874
30,30000,-255.01881832094443
31,31000,-231.3316180633442
32,32000,346.20732528740234
33,33000,634.4356338522231
34,34000,781.9233121361563
35,35000,634.6011557653999
36,36000,982.4962853415645
37,37000,12.124052667377299
38,38000,1012.8600767118428
39,39000,1158.2063127768627
40,40000,1140.0876949088272
41,41000,1226.448261632655
42,42000,1230.6183357429668
43,43000,1189.1748833327165
44,44000,1404.660946744919
45,45000,1410.8169176181902
46,46000,1573.3677663545463
47,47000,1633.6373498478129
48,48000,1624.437140436413
49,49000,1572.8174624634364
50,50000,526.5417907379788
51,51000,1666.7242810964697
52,52000,1721.3156260878777
53,53000,1878.041071585173
54,54000,1930.543813283012
55,55000,1928.922433569106
56,56000,1963.2460144555812
57,57000,1777.798780617672
58,58000,1894.178581927847
59,59000,1913.754161832736
60,60000,1956.5001873329174
61,61000,2079.6202327465203
62,62000,1814.9470305880552
63,63000,2232.4626367197275
64,64000,2193.8476955902966
65,65000,2237.3444970118703
66,66000,2170.2170267339006
67,67000,2182.0360601629595
68,68000,2354.0711515179883
69,69000,373.3253493906352
70,70000,2250.194783326399
71,71000,2590.781266137304
72,72000,2351.896447921854
73,73000,2483.8473513187187
74,74000,2462.6195677354817
75,75000,2482.9575774835253
76,76000,389.5748238857336
77,77000,2484.724674514111
78,78000,2317.453362386962
79,79000,2600.558386616559
80,80000,2457.81082415549
81,81000,2578.6990919759046
82,82000,2497.775563569634
83,83000,2666.237377127756
84,84000,2422.110163223274
85,85000,2438.478461063567
86,86000,2475.861572133066
87,87000,2389.660405906992
88,88000,2402.6553263775318
89,89000,2620.774143025775
90,90000,2907.9006623300443
91,91000,2764.4462882497296
92,92000,954.137417844779
93,93000,2797.7136155496464
94,94000,2874.999060840155
95,95000,2889.538703501727
96,96000,3051.0065319946852
97,97000,2839.3567976342106
98,98000,2882.833046397054
99,99000,2775.2526943436214
100,100000,2850.947498150169
101,101000,2888.8763900544936
102,102000,2960.976933943531
103,103000,2910.076719918082
104,104000,3283.3584439649776
105,105000,3008.7184431045534
106,106000,2697.3909054080605
107,107000,2985.7189768578746
108,108000,3035.635280610164
109,109000,3261.453915133259
110,110000,3116.3963640958164
111,111000,3072.8134368818733
112,112000,3211.484118163425
113,113000,3114.431297492076
114,114000,3069.0936612899905
115,115000,3220.644085852911
116,116000,3111.5230492653122
117,117000,3143.328706986857
118,118000,3020.1639799417917
119,119000,3169.4340489471165
120,120000,3253.360049428252
121,121000,3154.791132182267
122,122000,3419.6679755572336
123,123000,3081.290988466629
124,124000,3206.259359815738
125,125000,3129.2957278148237
126,126000,3131.0028252974207
127,127000,3280.2151103024626
128,128000,3291.742651930883
129,129000,3379.0690939477845
130,130000,3244.079292516294
131,131000,3306.848467496109
132,132000,3157.9047754578146
133,133000,3222.591693659868
134,134000,3441.9407849112304
135,135000,3191.444920278615
136,136000,3281.566367701332
137,137000,3474.782548313848
138,138000,3254.520138591665
139,139000,3298.1675061379865
140,140000,3346.3559868293137
141,141000,3243.907171082128
142,142000,3375.58922806165
143,143000,3336.370561505178
144,144000,3335.048448920401
145,145000,3422.144560391652
146,146000,3318.8471641011474
147,147000,3606.5746486289563
148,148000,3452.5513750683576
149,149000,3287.087060084152
150,150000,3638.4882574328126
151,151000,3239.6714120566558
152,152000,3391.4269272176907
153,153000,3593.3130257572657
154,154000,3559.594753468156
155,155000,3518.6299354812018
156,156000,3442.7563867677645
157,157000,3502.643936137702
158,158000,3414.1764036128206
159,159000,3152.5650812235917
160,160000,3236.751201612459
161,161000,3636.5750585792052
162,162000,3302.726780551831
163,163000,3376.177689926513
164,164000,3692.0800078887855
165,165000,3865.759533698171
166,166000,3644.919669214497
167,167000,3490.386455436408
168,168000,3456.8354457293967
169,169000,3611.5761881584476
170,170000,3542.901262389488
171,171000,3638.744182848549
172,172000,3557.5302520258847
173,173000,3562.233204416526
174,174000,3785.684706330152
175,175000,3292.861261247085
176,176000,3592.6417100623403
177,177000,3607.1264599968417
178,178000,3476.6757849301875
179,179000,3571.2625648643325
180,180000,3853.412831786484
181,181000,3631.5761803671217
182,182000,3827.913187806915
183,183000,2629.604568279523
184,184000,3723.5081170974718
185,185000,3790.562299714021
186,186000,3787.2077921511514
187,187000,561.8126334989828
188,188000,3739.3917636372553
189,189000,3808.455337133437
190,190000,3715.229150739953
191,191000,3851.0755319276755
192,192000,3646.7357535164506
193,193000,3645.5607427246723
194,194000,3748.6384098606386
195,195000,3828.693010469158
196,196000,3863.2199829341707
197,197000,3727.598043831546
198,198000,3783.4190153962145
199,199000,3700.640484789064
200,200000,3807.164346915713
201,201000,3818.024634166225
202,202000,3578.162091767854
203,203000,3538.992821645723
204,204000,3736.639748893669
205,205000,3945.9898953148354
206,206000,3570.656381133041
207,207000,3756.160024414631
208,208000,3694.7122645631066
209,209000,3643.5871834762006
210,210000,3850.8460586471683
211,211000,3818.2059450290108
212,212000,3937.7787390523854
213,213000,3596.296267511257
214,214000,3831.606342698686
215,215000,3700.220454191099
216,216000,3760.393893137843
217,217000,3782.217223138926
218,218000,3922.0635733118356
219,219000,3949.116380226177
220,220000,3898.4000586480975
221,221000,3938.5836055848704
222,222000,3838.95488613274
223,223000,3783.0053589768645
224,224000,3893.2201980866453
225,225000,3945.7480055880587
226,226000,4002.2491726792778
227,227000,3815.453165865739
228,228000,3851.485060576942
229,229000,3961.928305331399
230,230000,3792.4460976975383
231,231000,4140.9082447651745
232,232000,3911.566701908201
233,233000,3888.101975330537
234,234000,3945.18541059311
235,235000,3918.2571731533103
236,236000,3681.9270796960973
237,237000,4022.6048458369723
238,238000,4043.5497111128625
239,239000,4032.9240049446353
240,240000,4121.285733273325
241,241000,4000.9866609228093
242,242000,3806.07656778651
243,243000,3883.143566668967
244,244000,3920.1144463609985
245,245000,4044.9826313040217
246,246000,4016.2885858725313
247,247000,4042.453097387064
248,248000,4089.4153637357003
249,249000,4005.2140537486416
250,250000,3969.480921167323
251,251000,3980.883071321865
252,252000,3852.5445687248207
253,253000,4188.00806363522
254,254000,4058.800077148651
255,255000,3920.633496354328
256,256000,4047.867035221614
257,257000,3870.6811469746885
258,258000,4308.628364507884
259,259000,4011.8297161322707
260,260000,3990.9063237092846
261,261000,4009.869856479586
262,262000,4100.116432106884
263,263000,4216.270154413316
264,264000,4237.128648805872
265,265000,3991.161998726262
266,266000,4093.6751950187363
267,267000,4165.325822328346
268,268000,4206.744862402843
269,269000,4228.704373918234
270,270000,4327.987051822806
271,271000,4231.449933663902
272,272000,4260.91152826739
273,273000,4238.259926270578
274,274000,4235.043294848654
275,275000,4273.932016486519
276,276000,4131.511580609869
277,277000,4221.374937459485
278,278000,3845.082545122476
279,279000,4208.329093409867
280,280000,3974.894594027191
281,281000,4132.870764502849
282,282000,4213.943858365207
283,283000,4280.445840233881
284,284000,4155.357534202218
285,285000,4313.701743991873
286,286000,4090.180616420646
287,287000,4534.875337056661
288,288000,4018.203688939484
289,289000,4187.1460418891775
290,290000,4347.479055045102
291,291000,4215.673300109935
292,292000,4285.9351577893885
293,293000,4403.943786170146
294,294000,4336.93917882005
295,295000,4435.974563500034
296,296000,4478.553522702446
297,297000,4470.286606171869
298,298000,4482.934324169113
299,299000,4417.364362047261
300,300000,4363.098511614049
301,301000,4360.837015714155
302,302000,4479.516169750217
303,303000,4181.703527821166
304,304000,4333.284836297997
305,305000,4326.628894184487
306,306000,4496.455683044483
307,307000,4362.234171695343
308,308000,4346.427777216075
309,309000,4397.377993297842
310,310000,4413.503661463636
311,311000,4285.818115468451
312,312000,4340.009198873761
313,313000,4387.856833113466
314,314000,4677.254867002065
315,315000,4407.164953876626
316,316000,4433.893004016127
317,317000,4269.30471455167
318,318000,4466.593217133368
319,319000,4297.850236773564
320,320000,4495.49427098139
321,321000,4519.921281251123
322,322000,4378.733964717722
323,323000,4298.1921813080535
324,324000,4506.251093493547
325,325000,4397.967193537851
326,326000,4469.913294630064
327,327000,4381.141634196901
328,328000,4493.563485826732
329,329000,4354.4779086475355
330,330000,4392.620548378369
331,331000,4537.847457706934
332,332000,4398.807509732749
333,333000,4484.566736745412
334,334000,4231.007634822168
335,335000,4290.391657111662
336,336000,4415.362078872223
337,337000,4508.118044666641
338,338000,4337.344759773046
339,339000,4630.555809164494
340,340000,4357.101430474448
341,341000,4518.783144728224
342,342000,4601.581064840292
343,343000,4588.142307000327
344,344000,4640.088084508496
345,345000,4671.897174083357
346,346000,4408.0583388657
347,347000,4300.465511257495
348,348000,4579.504114328316
349,349000,4440.883064566017
350,350000,4451.339029592223
351,351000,4479.959164122445
352,352000,4393.437024207398
353,353000,4377.2760411068775
354,354000,4446.074337221806
355,355000,4625.851243947269
356,356000,4564.780258414359
357,357000,4561.145207637495
358,358000,4476.376962874355
359,359000,4672.148642588549
360,360000,4502.037160496441
361,361000,4670.929018890706
362,362000,4413.506609715349
363,363000,4508.1669132479765
364,364000,4388.663043851187
365,365000,4590.502291328706
366,366000,4519.5935409587455
367,367000,4439.483075266382
368,368000,4611.605658961935
369,369000,4694.252427041116
370,370000,4337.417179108694
371,371000,4520.322717141367
372,372000,4544.487583459163
373,373000,4443.650770188196
374,374000,4376.807804366237
375,375000,4600.179946158709
376,376000,4617.405537471613
377,377000,4421.324862837293
378,378000,4572.33493565572
379,379000,4439.448090480084
380,380000,4601.173100844081
381,381000,4612.924525379171
382,382000,4547.891257046542
383,383000,4561.352069844761
384,384000,4648.711766448882
385,385000,4406.870320850905
386,386000,4569.407404100352
387,387000,4474.441554444254
388,388000,4534.317803332343
389,389000,4492.449593116538
390,390000,4486.906444040898
391,391000,4487.154373113834
392,392000,4661.055344899597
393,393000,4612.949025199913
394,394000,4732.171282736499
395,395000,4680.681550373196
396,396000,4661.035582032703
397,397000,4688.527564562107
398,398000,4461.118112209011
399,399000,4834.496181133838
400,400000,4667.467920796178
401,401000,4540.428348695228
402,402000,4694.195505019149
403,403000,4801.162480755584
404,404000,4899.942480943955
405,405000,4568.095790983116
406,406000,4786.855691596805
407,407000,4713.146436887688
408,408000,4496.637256453992
409,409000,4597.036215375962
410,410000,4728.782201473849
411,411000,4696.127717330436
412,412000,4552.62513746096
413,413000,4559.526176487531
414,414000,4707.8319543316575
415,415000,4487.556845545007
416,416000,4575.137495991068
417,417000,4630.211898358828
418,418000,4449.743590059601
419,419000,4642.738538373337
420,420000,4598.96890370183
421,421000,4826.801843992018
422,422000,4521.6220967112195
423,423000,4607.140482503694
424,424000,4717.231536069234
425,425000,4770.003431712987
426,426000,4549.77760831289
427,427000,4769.332006442432
428,428000,4685.774275172973
429,429000,4559.639831078146
430,430000,4856.359444317576
431,431000,4698.752532481913
432,432000,4825.716786918974
433,433000,4835.837794270418
434,434000,4643.7019893205215
435,435000,4681.668775230699
436,436000,4874.311950479464
437,437000,4885.7270564405335
438,438000,4762.710581155301
439,439000,4639.425494554998
440,440000,4766.7286369079775
441,441000,4715.659898475863
442,442000,4820.756575920845
443,443000,4856.909054394883
444,444000,4697.460514920402
445,445000,4712.6160090796875
446,446000,4798.03493001032
447,447000,4635.059968076434
448,448000,4821.6504910829
449,449000,4749.771890604971
450,450000,4879.469922662085
451,451000,4744.1425111255285
452,452000,4695.640142839454
453,453000,4819.871825918707
454,454000,4895.876663958255
455,455000,4665.273397474403
